filename,ocr_text,matched_code
WhatsApp Image 2026-04-29 at 1.25.57 PM (2).jpeg,"KS Gown-129 Fabric-Roman Silk Size-M,LXL,2XL Dno-3 27 500001",500001
WhatsApp Image 2026-04-29 at 1.26.59 PM.jpeg,KS_Kurta with Plazo-165 Fabric-Chinon Size-MLXL 2XL Dno-2_27_10019275,10019275
WhatsApp Image 2026-04-29 at 1.27.09 PM (1).jpeg,"S_Co-ord set-87 Fabric-Bombay Size-M,L,XL,2XL Dno-2 27 10021130 repido",10021130
WhatsApp Image 2026-04-29 at 1.27.10 PM.jpeg,"S_Co-ord set-87 Fabric-Bombay Size-M,L,XL,2XL Dno-3_ 27 10021131 repido",10021131
WhatsApp Image 2026-04-29 at 1.26.57 PM.jpeg,"KS_Kuita with Plazo & Dupatta-125 Fabric Grepe Size-MLXL,2XL Dno-5 27 10022091",10022091
WhatsApp Image 2026-04-29 at 1.26.56 PM.jpeg,"KS_Kurta with Plazo & Dupatta-119 Fabric-( Size-XL,2XL M,L Dno-5_27 10022578 Crepe",10022578
WhatsApp Image 2026-04-29 at 1.25.57 PM.jpeg,"KS Gown-119 Fabric-Chinon Size-XL,2XL,M,L Dno-4_27 10025103",10025103
WhatsApp Image 2026-04-29 at 1.27.01 PM (1).jpeg,"<S_Kurta with Plazo & Dupatta-65 Fabric-Chinon Size-XL,2XL,M,L Dno-2_27 10025105",10025105
WhatsApp Image 2026-04-29 at 1.22.59 PM (1).jpeg,"KS_Kurta with Plazo & Dupatta-115 Fabric-Cotton Size-XL,2XL,L Dno 27 10025542",10025542
WhatsApp Image 2026-04-29 at 1.26.58 PM (1).jpeg,"KS_Kurta with Plazo & Dupatta-159 Fabric-Crepe Size-XL,2XL,M,L Dno-3_27 10025820",10025820
WhatsApp Image 2026-04-29 at 1.26.58 PM.jpeg,"KS Kurta with Plazo Dupatta-159 Fabric-Crepe Size-XL,2XL,M,L Dno-2_27 10025821",10025821
WhatsApp Image 2026-04-29 at 1.25.48 PM.jpeg,KS Gown-87 Fabric-Mal Chanderi Size-XLAXLMLDno 3 27 10026674,10026674
WhatsApp Image 2026-04-29 at 1.22.59 PM.jpeg,~ord-set FabricCotton Size LML Dno-2 27 10027276 3 886g605b3g29,10027276
WhatsApp Image 2026-04-29 at 1.23.09 PM (2).jpeg,"<8 Kuta With Pants & Dupatta-55 Fabric-Cotton XL,2XLML Dno-8 27  10027278 Size-",10027278
WhatsApp Image 2026-04-29 at 1.23.07 PM (1).jpeg,"ZS_Kurta with Pants & Dupatta-55 Fabric-Cotton Size-XL,2XLML Dno-3_27_10027279",10027279
WhatsApp Image 2026-04-29 at 1.23.08 PM (1).jpeg,"zS_Kuta with Pants & Dupatta-55 Fabric-Cotton Size-XL,2XL ML Dno-6 27 10027280",10027280
WhatsApp Image 2026-04-29 at 1.25.55 PM (1).jpeg,This festive season make everyday fashicnable with great range trom KS Gown-15 Fabric-Mal tlu? e<-WaWe festive culiectior fos;ni M Dno-6 21 10027298,10027298
WhatsApp Image 2026-04-29 at 1.25.56 PM.jpeg,KS Gown?15 FabriceMal Chanderi Size-XL2XLMLDno-6 27 10027299,10027299
WhatsApp Image 2026-04-29 at 1.27.14 PM.jpeg,KS_Co-ord set-87 Fabric-Roman Glass Size-XL;2XL ML Dno-3_27  10027542,10027542
WhatsApp Image 2026-04-29 at 1.25.40 PM (1).jpeg,"M L XL KS_Gown-99 Fabric-Roman Glass Size-XL,2XLM,L Dno-2 27 1002757",10027574
WhatsApp Image 2026-04-29 at 1.25.41 PM.jpeg,1 XL KS_Gown-99 Fabric-Roman Glass Size-XL;2XLML Dno-2 27 10027572,10027576
